"year","column_number","variable_name","variable_label","value_labels","variable_class","example_values","block","question","subitem","activity_number","questionnaire_section","file_component","readable_description"
"2017-18",1,"FI_per_fv","File Identification","","character","FVP1",NA,NA,NA,NA,"","Person file: first visit","File Identification"
"2017-18",2,"b1q2_per_fv","Schdule","","character","104",1,2,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Schdule"
"2017-18",3,"quarter_per_fv","Quarter","","character","Q1, Q2, Q3, Q4",NA,NA,NA,NA,"","Person file: first visit","Quarter"
"2017-18",4,"visit_per_fv","Visit","","character","V1",NA,NA,NA,NA,"","Person file: first visit","Visit"
"2017-18",5,"b1q3_per_fv","Sector","0 = urban; 0 = rural","haven_labelled/vctrs_vctr/character","1, 2",1,3,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sector"
"2017-18",6,"state_per_fv","State/Ut Code","0 = Jammu & Kashmir; 0 = Himachal Pradesh; 0 = Punjab; 0 = Chandigarh; 0 = Uttrakhand; 0 = Haryana; 0 = Delhi; 0 = Rajasthan; 0 = Uttar Pradesh; 0 = Bihar; 0 = Sikkim; 0 = Arunachal Pradesh; 0 = Nagaland; 0 = Manipur; 0 = Mizoram; 0 = Tripura; 0 = Meghalaya; 0 = Assam; 0 = West Bengal; 0 = Jharkhand; 0 = Odisha; 0 = Chhattisgarh; 0 = Madhya Pradesh; 0 = Gujarat; 0 = Daman & Diu; 0 = D & N Haveli; 0 = Maharashtra; 0 = Andhra Pradesh; 0 = Karnataka; 0 = Goa; 0 = Lakshadweep; 0 = Kerala; 0 = Tamil Nadu; 0 = Puducherry; 0 = A & N Island; 0 = Telangana","haven_labelled/vctrs_vctr/character","01, 02, 03, 04, 05, 06, 07, 08, 09, 10",NA,NA,NA,NA,"","Person file: first visit","State/Ut Code"
"2017-18",7,"b1q4_per_fv","District Code","","character","21, 07, 20, 19, 06, 16, 18, 05, 17, 15",1,4,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","District Code"
"2017-18",8,"nss_region_per_fv","NSS-Region","","character","011, 012, 013, 014, 021, 022, 031, 032, 041, 051",NA,NA,NA,NA,"","Person file: first visit","NSS-Region"
"2017-18",9,"b1q5_per_fv","Stratum","","character","01, 02, 03, 04, 05, 99, 06",1,5,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Stratum"
"2017-18",10,"b1q6_per_fv","Sub-Stratum","","character","01, 02, 03, 04, 05, 06, 07, 08, 09, 10",1,6,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sub-Stratum"
"2017-18",11,"b1q11_per_fv","Sub-Sample","","character","1, 2",1,11,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sub-Sample"
"2017-18",12,"b1q12_per_fv","Fod Sub-Region","","character","0110, 0111, 0121, 0122, 0120, 0211, 0212, 0213, 0210, 0311",1,12,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Fod Sub-Region"
"2017-18",13,"fsu_per_fv","FSU","","character","15275, 15924, 16313, 18786, 13410, 10632, 18554, 12356, 14217, 14307",NA,NA,NA,NA,"","Person file: first visit","FSU"
"2017-18",14,"b1q13_per_fv","Sample Sg/Sb No.","","character","1, 2",1,13,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sample Sg/Sb No."
"2017-18",15,"b1q14_per_fv","Second Stage Stratum No.","","character","1, 2, 3, 4",1,14,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Second Stage Stratum No."
"2017-18",16,"b1q15_per_fv","Sample Household Number","","character","01, 02, 03, 04, 05, 06, 07, 08",1,15,NA,NA,"Block 1: identification and sample particulars","Person file: first visit","Sample Household Number"
"2017-18",17,"b4q1_per_fv","Person Serial No.","","character","01, 02, 03, 04, 05, 06, 07, 08, 09, 10",4,1,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Person Serial No."
"2017-18",18,"b4q4_per_fv","Relationship To Head","0 = self; 0 = spouse of head; 0 = married child; 0 = spouse of married child; 0 = unmarried child; 0 = grandchild-; 0 = father/mother/father-in-law/mother-in-law; 0 = brother/sister/brother-in-law/ sister-in-law/other relatives; 0 = servants/employees/other non-relatives","haven_labelled/vctrs_vctr/character","1, 2, 3, 4, 6, 5, 7, 8, 9",4,4,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Relationship To Head"
"2017-18",19,"b4q5_per_fv","Sex","0 = female; 0 = transgender; 0 = male","haven_labelled/vctrs_vctr/character","1, 2, 3",4,5,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Sex"
"2017-18",20,"b4q6_per_fv","Age","","numeric","65, 62, 31, 34, 60, 38, 32, 6, 42, 55",4,6,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Age"
"2017-18",21,"b4q7_per_fv","Marital Status","0 = currently married; 0 = widowed; 0 = divorced/separated; 0 = never married","haven_labelled/vctrs_vctr/character","2, 1, 4, 3",4,7,NA,NA,"Block 4: demographic, education and training particulars","Person file: first visit","Marital Status"
