"column_number","variable_name","variable_label","variable_class","non_missing","unique_non_missing","sample_values"
1,"panel_cperv1","Panel","character",421142,2,"P3, P2"
2,"FI_cperv1","File Identification","character",421142,1,"CFVP1"
3,"B1q2_cperv1","Schdule","character",421142,1,"104"
4,"qtr_cperv1","Quarter","character",421142,4,"Q1, Q2, Q7, Q8"
5,"visit_cperv1","Visit","character",421142,1,"V1"
6,"b1q3_cperv1","Sector","haven_labelled/vctrs_vctr/character",421142,2,"1, 2"
7,"state_cperv1","State/Ut Code","haven_labelled/vctrs_vctr/character",421142,36,"23, 21, 24, 33, 10, 08, 06, 14, 16, 01, 05, 15, 19, 22, 02"
8,"distcode_cperv1","District Code","character",421142,71,"06, 23, 04, 25, 09, 27, 20, 01, 19, 14, 18, 12, 10, 02, 22"
9,"nss_region_cperv1","NSS-Region","character",421142,89,"236, 212, 242, 333, 231, 101, 083, 061, 141, 161, 081, 013, 051, 151, 195"
10,"b1q5_cperv1","Stratum","character",421142,7,"06, 02, 03, 01, 05, 04, 99"
11,"b1q6_cperv1","Sub-Stratum","character",421142,41,"01, 08, 06, 10, 29, 05, 04, 18, 13, 02, 12, 03, 09, 15, 11"
12,"b1q11_cperv1","Sub-Sample","character",421142,2,"2, 1"
13,"b1q12_cperv1","Fod Sub-Region","character",421142,173,"2322, 2120, 2421, 3333, 2331, 1010, 0812, 0615, 1410, 1610, 0121, 0510, 1510, 1913, 2210"
14,"b1q1_cperv1","FSU","character",421142,10319,"10003, 10005, 10010, 10012, 10028, 10032, 10036, 10038, 10042, 10043, 10044, 10047, 10049, 10050, 10058"
15,"b1q13_cperv1","Sample Hg/Sb No.","character",421142,2,"1, 2"
16,"b1q14_cperv1","Second Stage Stratum No.","character",421142,4,"1, 2, 3, 4"
17,"b1q15_cperv1","Sample Household Number","character",421142,8,"01, 02, 03, 04, 05, 06, 07, 08"
18,"b4q1_cperv1","Person Serial No.","character",421142,29,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15"
19,"b4q5_cperv1","Sex","haven_labelled/vctrs_vctr/character",421142,3,"1, 2, 3"
20,"b4q6_cperv1","Age","character",421142,109,"45, 42, 17, 19, 51, 49, 16, 20, 18, 96, 35, 29, 27, 55, 43"
21,"b4q8_cperv1","General Educaion Level","haven_labelled/vctrs_vctr/character",421142,12,"06, 01, 08, 10, 07, 12, 05, 02, 13, 11, 04, 03"
22,"b6q5_cperv1","Current Weekly Status (CWS)","haven_labelled/vctrs_vctr/character",421142,21,"11, 21, 91, 93, 92, 94, 81, 51, 99, 31, 41, 95, 97, 42, 82"
23,"b6q6_cperv1","Industry Code (CWS)","character",421142,88,"01, , 56, 41, 14, 82, 97, 49, 47, 87, 85, 62, 95, 24, 55"
24,"b6q7_cperv1","Occupation Code (CWS)","character",421142,165,"611, , 121, 921, 931, 962, 112, 132, 753, 832, 711, 631, 613, 141, 751"
25,"nss_cperv1","Ns count for sector x stratum x substratum x sub-sample","numeric",421142,16,"1, 5, 2, 3, 4, 7, 11, 16, 8, 6, 10, 12, 14, 9, 15"
26,"nsc_cperv1","Ns count for sector x stratum x substratum","numeric",421142,25,"2, 1, 10, 4, 6, 8, 14, 9, 23, 22, 32, 16, 15, 12, 20"
27,"mult_cperv1","Sub-sample wise Multiplier","numeric",421142,58338,"1276848, 1037439, 3431528, 1062693, 599907, 1611179, 1782581, 1096973, 3839405, 869940, 44997, 59996, 13071591, 2126102, 3307270"
