"X2017_18","X2018_19","X2020_21","X2022","X2023","X2024","X2025"
"b1q11_per_fv","b1q11_per_fv","b1q1_perv1","b1q1_cperv1","b1q1_cperv1","Age","acws"
"b1q12_per_fv","b1q12_per_fv","b1q11_perv1","b1q11_cperv1","b1q11_cperv1","Current_Attendance_Status","age"
"b1q13_per_fv","b1q13_per_fv","b1q12_perv1","b1q12_cperv1","b1q12_cperv1","CWS_Earnings_Salaried","ahr1"
"b1q14_per_fv","b1q14_per_fv","b1q13_perv1","b1q13_cperv1","b1q13_cperv1","CWS_Earnings_SelfEmployed","ahr2"
"b1q15_per_fv","b1q15_per_fv","b1q14_perv1","b1q14_cperv1","b1q14_cperv1","CWS_Industry_Code","ahr3"
"b1q2_per_fv","b1q2_per_fv","b1q15_perv1","b1q15_cperv1","b1q15_cperv1","CWS_Occupation_Code","ahr4"
"b1q3_per_fv","b1q3_per_fv","B1q2_perv1","B1q2_cperv1","B1q2_cperv1","CWS_Status_Code","ahr5"
"b1q4_per_fv","b1q4_per_fv","b1q3_perv1","b1q3_cperv1","b1q3_cperv1","Day1_Act1_Hours","ahr6"
"b1q5_per_fv","b1q5_per_fv","b1q5_perv1","b1q5_cperv1","b1q5_cperv1","Day1_Act1_Industry_Code","ahr7"
"b1q6_per_fv","b1q6_per_fv","b1q6_perv1","b1q6_cperv1","b1q6_cperv1","Day1_Act1_Status_Code","aind_cws"
"b4pt1q3_per_fv","b4pt1q3_per_fv","b4pt1q3_perv1","b4pt1q3_cperv1","b4pt1q3_cperv1","Day1_Act1_Wage","bstrm"
"b4pt1q4_per_fv","b4pt1q4_per_fv","b4pt1q4_perv1","b4pt1q4_cperv1","b4pt1q4_cperv1","Day1_Act2_Hours","caph"
"b4pt1q5_per_fv","b4pt1q5_per_fv","b4pt1q5_perv1","b4pt1q5_cperv1","b4pt1q5_cperv1","Day1_Act2_Industry_Code","curr_att"
"b4pt1q6_per_fv","b4pt1q6_per_fv","b4pt1q6_perv1","b4pt1q6_cperv1","b4pt1q6_cperv1","Day1_Act2_Status_Code","das11"
"b4pt1q7_per_fv","b4pt1q7_per_fv","b4pt1q7_perv1","b4pt1q7_cperv1","b4pt1q7_cperv1","Day1_Act2_Wage","das12"
"b4q1_per_fv","b4q1_per_fv","b4q1_perv1","b4q1_cperv1","b4q1_cperv1","Day1_Additional_Work_Hours","das13"
"b4q10_per_fv","b4q10_per_fv","b4q10_perv1","b4q10_cperv1","b4q10_cperv1","Day1_Total_Hours","das14"
"b4q11_per_fv","b4q11_per_fv","b4q11_perv1","b4q11_cperv1","b4q11_cperv1","Day2_Act1_Hours","das15"
"b4q12_per_fv","b4q12_per_fv","b4q12_perv1","b4q12_cperv1","b4q12_cperv1","Day2_Act1_Industry_Code","das16"
